data_as_of,start_week,end_week,state,county_name,urbanruralcode,fipsstate,fipscounty,fipscode,indicator,all_deaths_total,covid_19_deaths_total,non_hispanic_white,non_hispanic_black,non_hispanic_american_indian,non_hispanic_asian,non_hispanic_nhopi,hispanic,other,urbanruraldesc,footnote
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Colbert County,4,1,33,1033,Distribution of population (%),2616,346,0.776,0.16,0.006,0.007,0.001,0.032,0.019,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Covington County,6,1,39,1039,Distribution of all-cause deaths (%),2040,261,0.879,0.115,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Covington County,6,1,39,1039,Distribution of COVID-19 deaths (%),2040,261,0.866,0.13,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Covington County,6,1,39,1039,Distribution of population (%),2040,261,0.829,0.125,0.006,0.005,0,0.019,0.016,Noncore,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Cullman County,5,1,43,1043,Distribution of all-cause deaths (%),4028,415,0.98,0.009,,,,0.008,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Cullman County,5,1,43,1043,Distribution of COVID-19 deaths (%),4028,415,0.964,,,,,0.029,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Cullman County,5,1,43,1043,Distribution of population (%),4028,415,0.917,0.013,0.006,0.006,0.001,0.045,0.013,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Dale County,5,1,45,1045,Distribution of all-cause deaths (%),1605,144,0.801,0.174,,,,0.017,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Dale County,5,1,45,1045,Distribution of COVID-19 deaths (%),1605,144,0.778,0.188,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Dale County,5,1,45,1045,Distribution of population (%),1605,144,0.68,0.204,0.007,0.014,0.001,0.069,0.024,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Dallas County,5,1,47,1047,Distribution of all-cause deaths (%),1769,210,0.352,0.642,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Dallas County,5,1,47,1047,Distribution of COVID-19 deaths (%),1769,210,0.319,0.676,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Dallas County,5,1,47,1047,Distribution of population (%),1769,210,0.267,0.704,0.002,0.005,0,0.012,0.009,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,DeKalb County,6,1,49,1049,Distribution of all-cause deaths (%),2682,208,0.962,0.017,,,,0.019,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,DeKalb County,6,1,49,1049,Distribution of COVID-19 deaths (%),2682,208,0.947,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,DeKalb County,6,1,49,1049,Distribution of population (%),2682,208,0.796,0.014,0.012,0.004,0.001,0.153,0.021,Noncore,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Escambia County,6,1,53,1053,Distribution of all-cause deaths (%),1511,166,0.687,0.271,0.032,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Escambia County,6,1,53,1053,Distribution of COVID-19 deaths (%),1511,166,0.608,0.337,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Escambia County,6,1,53,1053,Distribution of population (%),1511,166,0.601,0.312,0.037,0.003,0.001,0.026,0.021,Noncore,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Etowah County,4,1,55,1055,Distribution of all-cause deaths (%),6054,763,0.859,0.129,,0.003,,0.007,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Etowah County,4,1,55,1055,Distribution of COVID-19 deaths (%),6054,763,0.865,0.125,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Etowah County,4,1,55,1055,Distribution of population (%),6054,763,0.771,0.156,0.004,0.008,0,0.043,0.016,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Geneva County,4,1,61,1061,Distribution of all-cause deaths (%),1183,102,0.904,0.079,,,,0.01,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Geneva County,4,1,61,1061,Distribution of COVID-19 deaths (%),1183,102,0.892,0.108,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Geneva County,4,1,61,1061,Distribution of population (%),1183,102,0.832,0.091,0.009,0.003,0,0.043,0.021,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Houston County,4,1,69,1069,Distribution of all-cause deaths (%),7482,1071,0.735,0.244,,0.004,,0.01,0.005,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Houston County,4,1,69,1069,Distribution of COVID-19 deaths (%),7482,1071,0.709,0.272,,,,0.012,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Houston County,4,1,69,1069,Distribution of population (%),7482,1071,0.656,0.274,0.004,0.011,0.001,0.035,0.02,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Jackson County,5,1,71,1071,Distribution of all-cause deaths (%),2310,163,0.963,0.029,,,,0.007,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Jackson County,5,1,71,1071,Distribution of COVID-19 deaths (%),2310,163,0.982,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Jackson County,5,1,71,1071,Distribution of population (%),2310,163,0.891,0.033,0.014,0.005,0.001,0.031,0.027,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Jefferson County,1,1,73,1073,Distribution of all-cause deaths (%),39262,3964,0.626,0.354,0.001,0.005,0,0.011,0.003,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Jefferson County,1,1,73,1073,Distribution of COVID-19 deaths (%),39262,3964,0.636,0.333,,0.006,,0.021,0.003,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Jefferson County,1,1,73,1073,Distribution of population (%),39262,3964,0.492,0.434,0.002,0.018,0,0.041,0.013,Large central metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Lauderdale County,4,1,77,1077,Distribution of all-cause deaths (%),5353,514,0.9,0.091,,,,0.006,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Lauderdale County,4,1,77,1077,Distribution of COVID-19 deaths (%),5353,514,0.86,0.121,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Lauderdale County,4,1,77,1077,Distribution of population (%),5353,514,0.843,0.098,0.004,0.008,0,0.03,0.016,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Lee County,4,1,81,1081,Distribution of all-cause deaths (%),4799,586,0.696,0.288,,0.006,,0.007,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Lee County,4,1,81,1081,Distribution of COVID-19 deaths (%),4799,586,0.609,0.367,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Lee County,4,1,81,1081,Distribution of population (%),4799,586,0.676,0.226,0.003,0.041,0.001,0.038,0.016,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Limestone County,3,1,83,1083,Distribution of all-cause deaths (%),3078,259,0.879,0.1,,,,0.014,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Limestone County,3,1,83,1083,Distribution of COVID-19 deaths (%),3078,259,0.892,0.085,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Limestone County,3,1,83,1083,Distribution of population (%),3078,259,0.757,0.136,0.006,0.017,0.001,0.062,0.021,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Madison County,3,1,89,1089,Distribution of all-cause deaths (%),16376,1522,0.791,0.181,0.001,0.01,,0.014,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Madison County,3,1,89,1089,Distribution of COVID-19 deaths (%),16376,1522,0.771,0.188,,0.01,,0.026,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Madison County,3,1,89,1089,Distribution of population (%),16376,1522,0.644,0.244,0.007,0.026,0.001,0.052,0.026,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marengo County,6,1,91,1091,Distribution of all-cause deaths (%),949,126,0.454,0.532,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marengo County,6,1,91,1091,Distribution of COVID-19 deaths (%),949,126,0.365,0.611,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marengo County,6,1,91,1091,Distribution of population (%),949,126,0.443,0.514,0.002,0.003,0,0.028,0.01,Noncore,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marion County,6,1,93,1093,Distribution of all-cause deaths (%),1334,128,0.956,0.038,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marion County,6,1,93,1093,Distribution of COVID-19 deaths (%),1334,128,0.93,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marion County,6,1,93,1093,Distribution of population (%),1334,128,0.917,0.038,0.004,0.003,0,0.026,0.012,Noncore,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marshall County,5,1,95,1095,Distribution of all-cause deaths (%),4609,397,0.954,0.015,,,,0.026,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marshall County,5,1,95,1095,Distribution of COVID-19 deaths (%),4609,397,0.902,,,,,0.086,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Marshall County,5,1,95,1095,Distribution of population (%),4609,397,0.796,0.026,0.006,0.007,0.001,0.15,0.015,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Mobile County,3,1,97,1097,Distribution of all-cause deaths (%),20243,2028,0.645,0.331,0.007,0.007,,0.008,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Mobile County,3,1,97,1097,Distribution of COVID-19 deaths (%),20243,2028,0.589,0.378,0.008,0.011,,0.011,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Mobile County,3,1,97,1097,Distribution of population (%),20243,2028,0.563,0.362,0.009,0.021,0,0.03,0.016,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Montgomery County,3,1,101,1101,Distribution of all-cause deaths (%),11657,1564,0.474,0.506,,0.006,,0.01,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Montgomery County,3,1,101,1101,Distribution of COVID-19 deaths (%),11657,1564,0.441,0.539,,,,0.014,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Montgomery County,3,1,101,1101,Distribution of population (%),11657,1564,0.319,0.595,0.002,0.033,0,0.037,0.013,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Morgan County,4,1,103,1103,Distribution of all-cause deaths (%),4961,474,0.862,0.115,,,,0.02,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Morgan County,4,1,103,1103,Distribution of COVID-19 deaths (%),4961,474,0.802,0.15,,,,0.044,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Morgan County,4,1,103,1103,Distribution of population (%),4961,474,0.749,0.127,0.008,0.006,0.001,0.087,0.021,Small metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Pike County,5,1,109,1109,Distribution of all-cause deaths (%),1074,112,0.683,0.309,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Pike County,5,1,109,1109,Distribution of COVID-19 deaths (%),1074,112,0.643,0.357,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Pike County,5,1,109,1109,Distribution of population (%),1074,112,0.557,0.378,0.006,0.018,0,0.024,0.017,Micropolitan,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Russell County,3,1,113,1113,Distribution of all-cause deaths (%),1471,114,0.645,0.332,,,,0.014,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Russell County,3,1,113,1113,Distribution of COVID-19 deaths (%),1471,114,0.684,0.289,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Russell County,3,1,113,1113,Distribution of population (%),1471,114,0.454,0.449,0.005,0.008,0.003,0.059,0.023,Medium metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,St. Clair County,2,1,115,1115,Distribution of all-cause deaths (%),2974,185,0.912,0.08,,,,0.004,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,St. Clair County,2,1,115,1115,Distribution of COVID-19 deaths (%),2974,185,0.924,0.059,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,St. Clair County,2,1,115,1115,Distribution of population (%),2974,185,0.849,0.097,0.003,0.009,0.001,0.025,0.015,Large fringe metro,
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Shelby County,2,1,117,1117,Distribution of all-cause deaths (%),5161,338,0.868,0.109,,0.006,,0.013,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Shelby County,2,1,117,1117,Distribution of COVID-19 deaths (%),5161,338,0.808,0.145,,,,0.033,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2023-06-21T00:00:00.000,2020-01-01T00:00:00.000,2023-06-17T00:00:00.000,AL,Shelby County,2,1,117,1117,Distribution of population (%),5161,338,0.767,0.135,0.003,0.023,0,0.058,0.014,Large fringe metro,
